#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Stephen Curry,GSW,51,32,8.4,16.9,0.495,4.2,9.8,0.423,5.5,5.9,0.921,3,2.2,0.7,4.4,5.1,6.1,1.6,0.2,26.4
2,Kevin Durant,GSW,68,34.2,9.3,18,0.516,2.5,6.1,0.419,5.3,5.9,0.889,3,2,0.5,6.4,6.8,5.4,0.7,1.8,26.4
3,Klay Thompson,GSW,73,34.3,7.9,16.1,0.488,3.1,7.1,0.44,1.1,1.3,0.837,1.8,1.6,0.4,3.4,3.8,2.5,0.8,0.5,20
4,Draymond Green,GSW,70,32.7,4,8.8,0.454,1.1,3.7,0.301,1.9,2.5,0.775,2.9,2.6,1.1,6.6,7.6,7.3,1.4,1.3,11
5,Quinn Cook,GSW,33,22.4,3.7,7.6,0.484,1.4,3.2,0.442,0.7,0.8,0.88,1,1.8,0.3,2.2,2.5,2.7,0.4,0,9.5
6,Nick Young,GSW,80,17.4,2.5,6.1,0.412,1.5,4.1,0.377,0.7,0.8,0.862,0.5,1.2,0.2,1.3,1.6,0.5,0.5,0.1,7.3
7,David West,GSW,73,13.7,3,5.2,0.571,0,0.1,0.375,0.8,1.1,0.759,1.1,1.6,0.9,2.4,3.3,1.9,0.6,1,6.8
8,Andre Iguodala,GSW,64,25.4,2.3,5,0.463,0.5,1.8,0.282,0.9,1.4,0.632,1,1.5,0.8,3.1,3.8,3.3,0.8,0.6,6
9,Omri Casspi,GSW,53,14,2.3,3.9,0.58,0.2,0.4,0.455,0.9,1.3,0.725,0.7,1.3,0.6,3.2,3.8,1,0.3,0.4,5.7
10,Shaun Livingston,GSW,71,15.9,2.4,4.8,0.501,0,0.1,0,0.7,0.9,0.82,0.8,1.6,0.5,1.4,1.8,2,0.5,0.3,5.5
11,Zaza Pachulia,GSW,69,14.1,2.2,3.8,0.564,0,0,0,1.1,1.3,0.806,1,1.8,1.3,3.4,4.7,1.6,0.6,0.2,5.4
12,JaVale McGee,GSW,65,9.5,2.1,3.4,0.621,0,0.1,0,0.6,0.8,0.731,0.4,1.4,0.9,1.7,2.6,0.5,0.3,0.9,4.8
13,Jordan Bell,GSW,57,14.2,2,3.2,0.627,0,0.1,0,0.5,0.8,0.682,0.9,1.6,1.1,2.6,3.6,1.8,0.6,1,4.6
14,Kevon Looney,GSW,66,13.8,1.7,2.9,0.58,0,0.1,0.2,0.6,1.2,0.545,0.5,1.6,1.3,2,3.3,0.6,0.5,0.8,4
15,Patrick McCaw,GSW,57,16.9,1.6,3.9,0.409,0.3,1.4,0.237,0.5,0.6,0.765,0.7,1.2,0.3,1.2,1.4,1.4,0.8,0.2,4
16,Damian Jones,GSW,15,5.9,0.7,1.5,0.5,0,0,0,0.2,0.3,0.6,0.3,0.9,0.3,0.6,0.9,0.1,0.1,0.2,1.7
17,Chris Boucher,GSW,1,1.3,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
