Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Stephen Curry,GSW,51,32,8.4,16.9,0.495,4.2,9.8,0.423,5.5,5.9,0.921,3,2.2,0.7,4.4,5.1,6.1,1.6,0.2,26.4
Kevin Durant,GSW,68,34.2,9.3,18,0.516,2.5,6.1,0.419,5.3,5.9,0.889,3,2,0.5,6.4,6.8,5.4,0.7,1.8,26.4
Klay Thompson,GSW,73,34.3,7.9,16.1,0.488,3.1,7.1,0.44,1.1,1.3,0.837,1.8,1.6,0.4,3.4,3.8,2.5,0.8,0.5,20
Draymond Green,GSW,70,32.7,4,8.8,0.454,1.1,3.7,0.301,1.9,2.5,0.775,2.9,2.6,1.1,6.6,7.6,7.3,1.4,1.3,11
Quinn Cook,GSW,33,22.4,3.7,7.6,0.484,1.4,3.2,0.442,0.7,0.8,0.88,1,1.8,0.3,2.2,2.5,2.7,0.4,0,9.5
Nick Young,GSW,80,17.4,2.5,6.1,0.412,1.5,4.1,0.377,0.7,0.8,0.862,0.5,1.2,0.2,1.3,1.6,0.5,0.5,0.1,7.3
David West,GSW,73,13.7,3,5.2,0.571,0,0.1,0.375,0.8,1.1,0.759,1.1,1.6,0.9,2.4,3.3,1.9,0.6,1,6.8
Andre Iguodala,GSW,64,25.4,2.3,5,0.463,0.5,1.8,0.282,0.9,1.4,0.632,1,1.5,0.8,3.1,3.8,3.3,0.8,0.6,6
Omri Casspi,GSW,53,14,2.3,3.9,0.58,0.2,0.4,0.455,0.9,1.3,0.725,0.7,1.3,0.6,3.2,3.8,1,0.3,0.4,5.7
Shaun Livingston,GSW,71,15.9,2.4,4.8,0.501,0,0.1,0,0.7,0.9,0.82,0.8,1.6,0.5,1.4,1.8,2,0.5,0.3,5.5
Zaza Pachulia,GSW,69,14.1,2.2,3.8,0.564,0,0,0,1.1,1.3,0.806,1,1.8,1.3,3.4,4.7,1.6,0.6,0.2,5.4
JaVale McGee,GSW,65,9.5,2.1,3.4,0.621,0,0.1,0,0.6,0.8,0.731,0.4,1.4,0.9,1.7,2.6,0.5,0.3,0.9,4.8
Jordan Bell,GSW,57,14.2,2,3.2,0.627,0,0.1,0,0.5,0.8,0.682,0.9,1.6,1.1,2.6,3.6,1.8,0.6,1,4.6
Kevon Looney,GSW,66,13.8,1.7,2.9,0.58,0,0.1,0.2,0.6,1.2,0.545,0.5,1.6,1.3,2,3.3,0.6,0.5,0.8,4
Patrick McCaw,GSW,57,16.9,1.6,3.9,0.409,0.3,1.4,0.237,0.5,0.6,0.765,0.7,1.2,0.3,1.2,1.4,1.4,0.8,0.2,4
Damian Jones,GSW,15,5.9,0.7,1.5,0.5,0,0,0,0.2,0.3,0.6,0.3,0.9,0.3,0.6,0.9,0.1,0.1,0.2,1.7
Chris Boucher,GSW,1,1.3,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Kyrie Irving,BOS,60,32.2,8.9,18.1,0.491,2.8,6.8,0.408,3.9,4.3,0.889,2.3,2,0.6,3.2,3.8,5.1,1.1,0.3,24.4
Jaylen Brown,BOS,70,30.7,5.3,11.5,0.465,1.7,4.4,0.395,2.1,3.3,0.644,1.8,2.6,1,4,5,1.6,1,0.4,14.5
Jayson Tatum,BOS,80,30.5,5,10.4,0.475,1.3,3,0.434,2.7,3.2,0.826,1.4,2.1,0.6,4.4,5,1.6,1,0.7,13.9
Marcus Morris,BOS,54,26.8,4.9,11.3,0.429,1.6,4.3,0.368,2.3,2.9,0.805,1.2,1.9,0.8,4.6,5.4,1.3,0.6,0.2,13.6
Al Horford,BOS,72,31.6,5.1,10.5,0.489,1.3,3.1,0.429,1.3,1.7,0.783,1.8,1.9,1.4,5.9,7.4,4.7,0.6,1.1,12.9
Terry Rozier,BOS,80,25.9,4,10,0.395,1.9,5,0.381,1.4,1.9,0.772,1,1.5,0.8,3.9,4.7,2.9,1,0.2,11.2
Greg Monroe,BOS,26,19.1,4,7.6,0.53,0,0,0,2.1,2.7,0.797,1.8,1.8,2,4.3,6.3,2.3,1.1,0.7,10.2
Marcus Smart,BOS,54,29.9,3.5,9.5,0.367,1.4,4.6,0.301,1.8,2.5,0.729,2.4,2.5,0.8,2.7,3.5,4.8,1.3,0.4,10.2
Jonathan Gibson,BOS,4,10,3.5,5.8,0.609,1.5,3,0.5,0,0,0,0.8,1.2,0,0.8,0.8,1,0,0,8.5
Aron Baynes,BOS,81,18.3,2.6,5.5,0.471,0,0.3,0.143,0.7,1,0.756,1,2.5,1.6,3.8,5.3,1.1,0.3,0.6,6
Daniel Theis,BOS,63,14.9,2,3.7,0.541,0.3,0.9,0.31,1,1.3,0.753,0.9,2.5,1.4,2.9,4.3,0.9,0.5,0.8,5.3
Shane Larkin,BOS,54,14.3,1.6,4.1,0.384,0.6,1.6,0.36,0.6,0.7,0.865,0.6,1.1,0.3,1.4,1.7,1.8,0.5,0.1,4.3
Abdel Nader,BOS,48,10.9,1,3.1,0.336,0.5,1.4,0.354,0.5,0.8,0.59,0.7,0.9,0.3,1.2,1.5,0.5,0.3,0.2,3
Jabari Bird,BOS,13,8.8,1.2,2.1,0.556,0.2,0.5,0.429,0.5,1,0.462,0.6,0.5,0.5,1,1.5,0.6,0.2,0.1,3
Semi Ojeleye,BOS,73,15.8,0.9,2.6,0.348,0.5,1.7,0.32,0.3,0.6,0.61,0.3,1.2,0.5,1.7,2.2,0.3,0.3,0.1,2.7
Guerschon Yabusele,BOS,33,7.1,0.8,1.8,0.426,0.4,1.1,0.324,0.5,0.7,0.682,0.4,0.7,0.5,1.1,1.6,0.5,0.1,0.2,2.4
Gordon Hayward,BOS,1,5.2,1,2,0.5,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2
Kadeem Allen,BOS,18,6,0.3,1.2,0.273,0,0.6,0,0.4,0.5,0.778,0.5,0.8,0.2,0.4,0.6,0.7,0.2,0.1,1.1
Jarell Eddie,BOS,2,2.8,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0
Xavier Silas,BOS,2,3.7,0,1.5,0,0,1,0,0,0,0,0,0.5,0.5,0.5,1,0,0.5,0,0
Nikola Mirotic,CHI,25,24.9,5.7,12.1,0.474,2.8,6.4,0.429,2.6,3.2,0.823,1.2,1.8,0.7,5.6,6.4,1.6,0.6,0.5,16.8
Zach LaVine,CHI,24,27.3,5.7,14.8,0.383,1.8,5.1,0.341,3.6,4.5,0.813,1.8,2.3,0.4,3.5,3.9,3,1,0.2,16.7
Sean Kilpatrick,CHI,9,23.7,5.2,11.9,0.439,2.1,5.3,0.396,2.9,3.6,0.812,1.3,0.9,0.3,2.4,2.8,1.4,0.7,0.3,15.4
