PLAYER,2017-18
Stephen Curry,34682550
Kevin Durant,25000000.00
Klay Thompson,17826150.00
Draymond Green,16400000.00
Andre Iguodala,14814815.00
Shaun Livingston,7692308.00
Nick Young,5192000.00
Zaza Pachulia,3477600.00
David West,2328652.00
JaVale McGee,2116955.00
Omri Casspi,2106470.00
Kevon Looney,1471382.00
Patrick McCaw,1312611.00
Damian Jones,1312611.00
Jason Thompson *,945126.00
Jordan Bell,815615.00
Quinn Cook,14832.00
Chris Boucher,75000.00
Gordon Hayward,29727900.00
Al Horford,27734405.00
Kyrie Irving,18868626.00
Jayson Tatum,5645400.00
Greg Monroe,5000000.00
Marcus Morris,5000000.00
Jaylen Brown,4956480.00
Marcus Smart,4538019.00
Aron Baynes,4300000.00
Guerschon Yabusele,2247480.00
Terry Rozier,1988520.00
Shane Larkin,1524305.00
Semi Ojeleye,1291892.00
Abdel Nader,1167333.00
Daniel Theis,815615.00
Jarell Eddie,83128.00
Kadeem Allen,75000.00
Jabari Bird,75000.00
Jonathan Gibson,74158.00
Xavier Silas,74158.00
Dwyane Wade,15550000.00
Robin Lopez,13788500.00
Omer Asik,10595505.00
Cristiano Felicio,7843500.00
Justin Holiday,4500000.00
Kris Dunn,4046760.00
Noah Vonleh,4031018.00
Quincy Pondexter,3853931.00
Lauri Markkanen,3821640.00
Zach LaVine,3202217.00
Rajon Rondo,3000000.00
Cameron Payne,2203440.00
Denzel Valentine,2186400.00
Sean Kilpatrick,2163006.00
Jerian Grant,1713840.00
Bobby Portis,1516320.00
Tony Allen,1471382.00
Willie Reed,1471382.00
David Nwaba,1312611.00
Paul Zipser,1312611.00
Kay Felder,474616.00
Jaylen Johnson,87551.00
Jarell Eddie,83128.00
Ryan Arcidiacono,75000.00
Antonio Blakeney,75000.00
CJ Fair,46079.00
Harrison Barnes,23112004.00
Wesley Matthews,17884175.00
Dwight Powell,9003125.00
Josh McRoberts,6021175.00
Dirk Nowitzki,5000000.00
Nerlens Noel,4187599.00
Jose Juan Barea,3903900.00
Doug McDermott,3294994.00
Dennis Smith,3218280.00
Seth Curry,3028410.00
Salah Mejri,1471382.00
Yogi Ferrell,1312611.00
Dorian Finney-Smith,1312611.00
Maxi Kleber,815615.00
Kyle Collinsworth,595702.00
Jeff Withey,593780.00
Aaron Harrison,174570.00
Antonius Cleveland,158325.00
Gian Clavell,75000.00
Jalen Jones,75000.00
Johnathan Motley,75000.00
Scotty Hopson,74158.00
Jameel Warney,46079.00
Kent Bazemore,16910112.00
Dennis Schroeder,15500000.00
Miles Plumlee,12400000.00
Jamal Crawford,10942762.00
Marco Belinelli,6306060.00
Dewayne Dedmon,6000000.00
Ersan Ilyasova,6000000.00
Mike Muscala,5000000.00
Malcolm Delaney,2500000.00
Richard Jefferson,2500000.00
Taurean Prince,2422560.00
John Collins,1936920.00
Mike Dunleavy,1600000.00
DeAndre Bembry,1567200.00
Sheldon Mac,1312611.00
Diamond Stone,1312611.00
Isaiah Taylor,1312611.00
Okaro White,1312611.00
Tyler Dorsey,815615.00
Nicolas Brussino,393041.00
Antonius Cleveland,225791.00
Jaylen Morris,198143.00
Jeremy Evans,154059.00
Damion Lee,138239.00
Quinn Cook,100000.00
Tyler Cavanaugh,75000.00
Josh Magette,75000.00
Andrew White,
Paul Millsap,30769231.00
Mason Plumlee,14041096.00
Kenneth Faried,12921348.00
Wilson Chandler,12016854.00
Darrell Arthur,7464912.00
Jameer Nelson,4736050.00
Devin Harris,4402546.00
Jamal Murray,3858618.00
Will Barton,3533333.00
Gary Harris,2550055.00
Trey Lyles,2441400.00
Richard Jefferson,2328652.00
Juan Hernangomez,2076840.00
Malik Beasley,1700640.00
Tyler Lydon,1579440.00
Nikola Jokic,1471382.00
Torrey Craig,75000.00
Monte Morris,75000.00
