Date,Value
1970-01-01,1065.313
1971-01-01,1100.5
1972-01-01,1138.8
1973-01-01,1163.9
1974-01-01,1164.6
1975-01-01,1192.8
1976-01-01,1206.7
1977-01-01,1231.6
1978-01-01,1260.4
1979-01-01,1271.4
1980-01-01,1295.071
1981-01-01,1324.722
1982-01-01,1345.039
1983-01-01,1374.018
1984-01-01,1396.226
1985-01-01,1419.52
1986-01-01,1429.933
1987-01-01,1447.591
1988-01-01,1472.234
1989-01-01,1498.121
1990-01-01,1498.307
1991-01-01,1513.118
1992-01-01,1531.886
1993-01-01,1549.185
1994-01-01,1561.366
1995-01-01,1580.245
1996-01-01,1608.695
1997-01-01,1637.414
1998-01-01,1658.96
1999-01-01,1671.498
2000-01-01,1685.849
2001-01-01,1690.359
2002-01-01,1673.321
2003-01-01,1669.027
2004-01-01,1669.675
2005-01-01,1683.013
2006-01-01,1700.372
2007-01-01,1724.156
2008-01-01,1755.961
2009-01-01,1782.913
2010-01-01,1786.542
2011-01-01,1813.812
2012-01-01,1841.868
2013-01-01,1870.935
2014-01-01,1896.246
2015-01-01,1919.22
2016-01-01,1931.575
2017-01-01,1938.153
