Date,Value
2010-01-31,3384.0
2010-02-28,3656.0
2010-03-31,4284.0
2010-04-30,4693.0
2010-05-31,4638.0
2010-06-30,4436.0
2010-07-31,4580.0
2010-08-31,4708.0
2010-09-30,4800.0
2010-10-31,4804.0
2010-11-30,4768.0
2010-12-31,4268.0
2011-01-31,4032.0
2011-02-28,4447.0
2011-03-31,4720.0
2011-04-30,4920.0
2011-05-31,4871.0
2011-06-30,5037.0
2011-07-31,5296.0
2011-08-31,5062.0
2011-09-30,4597.0
2011-10-31,4440.0
2011-11-30,4136.0
2011-12-31,3554.0
2012-01-31,3184.0
2012-02-29,3209.0
2012-03-31,2990.0
2012-04-30,2634.0
2012-05-31,2601.0
2012-06-30,2535.0
2012-07-31,2408.0
2012-08-31,2473.0
2012-09-30,2556.0
2012-10-31,2464.0
2012-11-30,2170.0
2012-12-31,1576.0
2013-01-31,1362.0
2013-02-28,1554.0
2013-03-31,1704.0
2013-04-30,1779.0
2013-05-31,1957.0
2013-06-30,2020.0
2013-07-31,2156.0
2013-08-31,2272.0
2013-09-30,2130.0
2013-10-31,2179.0
2013-11-30,1994.0
2013-12-31,1478.0
2014-01-31,1038.0
2014-02-28,1268.0
2014-03-31,1416.0
2014-04-30,1641.0
2014-05-31,1980.0
2014-06-30,2096.0
2014-07-31,2189.0
2014-08-31,2414.0
2014-09-30,2247.0
2014-10-31,2166.0
2014-11-30,1724.0
2014-12-31,1285.0
2015-01-31,1074.0
2015-02-28,1188.0
2015-03-31,1346.0
2015-04-30,1565.0
2015-05-31,1733.0
2015-06-30,1835.0
2015-07-31,1911.0
2015-08-31,1970.0
2015-09-30,2035.0
2015-10-31,2042.0
2015-11-30,1992.0
2015-12-31,1240.0
2016-01-31,1027.0
2016-02-29,1086.0
2016-03-31,1342.0
2016-04-30,1576.0
2016-05-31,1874.0
2016-06-30,2110.0
2016-07-31,2235.0
2016-08-31,2208.0
2016-09-30,2051.0
2016-10-31,1921.0
2016-11-30,1574.0
2016-12-31,1020.0
2017-01-31,944.0
2017-02-28,1087.0
2017-03-31,1168.0
2017-04-30,1258.0
2017-05-31,1295.0
2017-06-30,1259.0
2017-07-31,1138.0
2017-08-31,1035.0
2017-09-30,966.0
2017-10-31,884.0
2017-11-30,765.0
2017-12-31,494.0
2018-01-31,534.0
2018-02-28,673.0
