Date,Value
1996-04-30,234325.0
1996-05-31,238575.0
1996-06-30,238875.0
1996-07-31,241875.0
1996-08-31,241200.0
1996-09-30,242075.0
1996-10-31,240225.0
1996-11-30,239675.0
1996-12-31,239600.0
1997-01-31,244425.0
1997-02-28,248150.0
1997-03-31,249850.0
1997-04-30,252750.0
1997-05-31,254925.0
1997-06-30,255425.0
1997-07-31,257650.0
1997-08-31,259250.0
1997-09-30,260500.0
1997-10-31,260350.0
1997-11-30,263650.0
1997-12-31,267450.0
1998-01-31,269550.0
1998-02-28,270000.0
1998-03-31,276000.0
1998-04-30,284200.0
1998-05-31,296300.0
1998-06-30,300750.0
1998-07-31,296100.0
1998-08-31,296650.0
1998-09-30,296000.0
1998-10-31,295750.0
1998-11-30,294500.0
1998-12-31,299650.0
1999-01-31,299350.0
1999-02-28,302200.0
1999-03-31,313300.0
1999-04-30,322400.0
1999-05-31,329875.0
1999-06-30,332125.0
1999-07-31,333975.0
1999-08-31,336125.0
1999-09-30,336050.0
1999-10-31,337950.0
1999-11-30,344250.0
1999-12-31,350250.0
2000-01-31,358725.0
2000-02-29,374775.0
2000-03-31,393050.0
2000-04-30,419950.0
2000-05-31,429750.0
2000-06-30,431500.0
2000-07-31,428000.0
2000-08-31,431100.0
2000-09-30,433150.0
2000-10-31,436650.0
2000-11-30,443750.0
2000-12-31,450850.0
2001-01-31,451750.0
2001-02-28,460250.0
2001-03-31,466150.0
2001-04-30,459500.0
2001-05-31,452850.0
2001-06-30,455000.0
2001-07-31,453500.0
2001-08-31,444000.0
2001-09-30,434750.0
2001-10-31,428250.0
2001-11-30,429250.0
2001-12-31,430950.0
2002-01-31,429500.0
2002-02-28,433750.0
2002-03-31,442700.0
2002-04-30,455850.0
2002-05-31,462750.0
2002-06-30,467500.0
2002-07-31,469750.0
2002-08-31,465350.0
2002-09-30,462900.0
2002-10-31,463375.0
2002-11-30,462125.0
2002-12-31,460500.0
2003-01-31,457325.0
2003-02-28,458675.0
2003-03-31,459600.0
2003-04-30,467650.0
2003-05-31,470250.0
2003-06-30,473250.0
2003-07-31,476250.0
2003-08-31,478900.0
2003-09-30,478350.0
2003-10-31,478950.0
2003-11-30,482300.0
2003-12-31,483425.0
2004-01-31,484375.0
2004-02-29,488700.0
2004-03-31,506300.0
2004-04-30,516650.0
2004-05-31,530300.0
2004-06-30,541250.0
2004-07-31,542975.0
2004-08-31,541275.0
2004-09-30,540000.0
2004-10-31,544500.0
2004-11-30,553150.0
2004-12-31,562850.0
2005-01-31,570650.0
2005-02-28,581600.0
2005-03-31,595931.5
2005-04-30,615227.05
2005-05-31,628604.45
2005-06-30,641600.0
2005-07-31,647750.0
2005-08-31,651250.0
2005-09-30,650875.0
2005-10-31,650375.0
2005-11-30,646500.0
2005-12-31,642550.0
2006-01-31,642950.0
2006-02-28,651250.0
2006-03-31,664900.0
2006-04-30,667600.0
2006-05-31,675000.0
2006-06-30,678450.0
2006-07-31,680300.0
2006-08-31,675000.0
2006-09-30,671500.0
2006-10-31,672500.0
2006-11-30,672750.0
2006-12-31,666450.0
2007-01-31,661800.0
2007-02-28,667500.0
2007-03-31,677750.0
2007-04-30,691250.0
2007-05-31,697925.0
2007-06-30,698075.0
2007-07-31,698600.0
2007-08-31,699400.0
2007-09-30,697500.0
2007-10-31,688250.0
2007-11-30,683250.0
2007-12-31,668700.0
2008-01-31,661900.0
2008-02-29,665400.0
2008-03-31,683700.0
2008-04-30,692950.0
2008-05-31,698100.0
2008-06-30,699250.0
2008-07-31,685750.0
2008-08-31,655025.0
2008-09-30,627225.0
2008-10-31,611200.0
2008-11-30,566050.0
2008-12-31,549500.0
2009-01-31,530250.0
2009-02-28,538800.0
2009-03-31,540200.0
2009-04-30,535250.0
2009-05-31,547375.0
2009-06-30,556875.0
2009-07-31,565750.0
2009-08-31,557000.0
2009-09-30,544450.0
2009-10-31,547500.0
2009-11-30,549400.0
2009-12-31,545750.0
2010-01-31,519000.0
2010-02-28,504750.0
2010-03-31,529600.0
2010-04-30,551150.0
2010-05-31,565000.0
2010-06-30,568500.0
2010-07-31,572500.0
2010-08-31,561750.0
2010-09-30,564750.0
2010-10-31,569200.0
2010-11-30,548475.0
2010-12-31,533425.0
2011-01-31,513250.0
2011-02-28,493750.0
2011-03-31,507200.0
2011-04-30,523750.0
2011-05-31,538150.0
2011-06-30,555850.0
2011-07-31,556250.0
2011-08-31,548000.0
2011-09-30,526500.0
2011-10-31,504500.0
2011-11-30,498000.0
2011-12-31,486000.0
2012-01-31,474500.0
2012-02-29,472250.0
2012-03-31,500350.0
2012-04-30,536450.0
2012-05-31,578300.0
2012-06-30,600200.0
2012-07-31,606000.0
2012-08-31,593500.0
2012-09-30,586050.0
2012-10-31,588950.0
2012-11-30,604750.0
2012-12-31,605550.0
2013-01-31,593750.0
2013-02-28,587500.0
2013-03-31,621450.0
2013-04-30,663100.0
2013-05-31,697600.0
2013-06-30,700525.0
2013-07-31,695050.0
2013-08-31,685800.0
2013-09-30,686500.0
2013-10-31,683500.0
2013-11-30,681500.0
2013-12-31,666250.0
2014-01-31,659500.0
2014-02-28,668500.0
2014-03-31,709200.0
2014-04-30,746350.0
2014-05-31,755500.0
2014-06-30,761250.0
2014-07-31,753875.0
2014-08-31,745950.0
2014-09-30,743250.0
2014-10-31,741250.0
2014-11-30,740400.0
2014-12-31,732350.0
2015-01-31,709750.0
2015-02-28,711750.0
2015-03-31,741050.0
2015-04-30,778100.0
2015-05-31,808200.0
2015-06-30,822150.0
2015-07-31,843025.0
2015-08-31,852475.0
2015-09-30,848250.0
2015-10-31,832250.0
2015-11-30,828000.0
2015-12-31,816000.0
2016-01-31,789250.0
2016-02-29,803850.0
2016-03-31,842900.0
2016-04-30,885750.0
2016-05-31,907250.0
2016-06-30,909250.0
